symbol,date,price
HillaryClinton,Apr-12-2015-23,1758
HillaryClinton,Apr-13-2015-00,1865
HillaryClinton,Apr-13-2015-01,1377
HillaryClinton,Apr-13-2015-02,1403
HillaryClinton,Apr-13-2015-03,919
HillaryClinton,Apr-13-2015-04,834
HillaryClinton,Apr-13-2015-05,872
HillaryClinton,Apr-13-2015-06,965
HillaryClinton,Apr-13-2015-07,865
HillaryClinton,Apr-13-2015-08,1005
HillaryClinton,Apr-13-2015-09,531
HillaryClinton,Apr-13-2015-10,573
HillaryClinton,Apr-13-2015-11,787
HillaryClinton,Apr-13-2015-12,866
HillaryClinton,Apr-13-2015-13,1034
HillaryClinton,Apr-13-2015-14,1031
HillaryClinton,Apr-13-2015-15,1420
HillaryClinton,Apr-13-2015-16,1156
HillaryClinton,Apr-13-2015-17,1119
HillaryClinton,Apr-13-2015-18,1027
HillaryClinton,Apr-13-2015-19,1001
HillaryClinton,Apr-13-2015-20,1247
HillaryClinton,Apr-13-2015-21,1109
HillaryClinton,Apr-13-2015-22,993
HillaryClinton,Apr-13-2015-23,945
HillaryClinton,Apr-14-2015-00,1210
HillaryClinton,Apr-14-2015-01,1112
HillaryClinton,Apr-14-2015-02,1253
HillaryClinton,Apr-14-2015-03,892
HillaryClinton,Apr-14-2015-04,595
HillaryClinton,Apr-14-2015-05,394
HillaryClinton,Apr-14-2015-06,294
HillaryClinton,Apr-14-2015-07,351
HillaryClinton,Apr-14-2015-08,443
HillaryClinton,Apr-14-2015-09,405
HillaryClinton,Apr-14-2015-10,355
HillaryClinton,Apr-14-2015-11,613
HillaryClinton,Apr-14-2015-12,557
HillaryClinton,Apr-14-2015-13,585
HillaryClinton,Apr-14-2015-14,449
HillaryClinton,Apr-14-2015-15,566
HillaryClinton,Apr-14-2015-16,880
Hillary,Apr-12-2015-17,574
Hillary,Apr-12-2015-18,805
Hillary,Apr-12-2015-19,1968
Hillary,Apr-12-2015-20,1295
Hillary,Apr-12-2015-21,994
Hillary,Apr-12-2015-22,676
Hillary,Apr-12-2015-23,788
Hillary,Apr-13-2015-00,758
Hillary,Apr-13-2015-01,557
Hillary,Apr-13-2015-02,657
Hillary,Apr-13-2015-03,563
Hillary,Apr-13-2015-04,332
Hillary,Apr-13-2015-05,376
Hillary,Apr-13-2015-06,353
